order_id,tool_id,category_id,tool_name,tool_category,city,date_of_use,frequency_used,skills,projects_count
1,10,1,Jenkins,CI/CD Tools,San Francisco,1/1/2014,5,Intermediate,8
2,12,2,Docker,Containerization,New York,1/2/2014,6,Intermediate,10
3,15,2,Kubernetes,Orchestration,Chicago,1/3/2014,4,Beginner,5
4,18,3,Ansible,Configuration Management,Los Angeles,1/4/2014,3,Beginner,6
5,20,3,Terraform,Infrastructure as Code,Houston,1/5/2014,2,Beginner,4
6,25,4,Grafana,Monitoring and Observability,San Francisco,1/6/2014,3,Intermediate,7
7,28,4,Prometheus,Monitoring and Observability,New York,1/7/2015,5,Intermediate,9
8,30,5,GitLab CI,CI/CD Tools,Chicago,1/8/2016,6,Advanced,12
9,32,5,ELK Stack,Log Management,Los Angeles,1/9/2016,4,Intermediate,8
10,35,6,Puppet,Configuration Management,Houston,1/10/2017,3,Beginner,5
11,40,6,Chef,Configuration Management,San Francisco,1/11/2017,5,Intermediate,10
12,42,7,Azure DevOps,CI/CD Tools,New York,1/12/2018,6,Advanced,11
13,45,7,GitHub Actions,CI/CD Tools,Chicago,1/13/2018,5,Intermediate,8
14,50,8,New Relic,Monitoring and Observability,Los Angeles,1/14/2018,4,Beginner,6
15,55,8,Nagios,Monitoring and Observability,Houston,1/15/2019,6,Intermediate,9
16,60,9,HashiCorp Vault,Secret Management,San Francisco,1/16/2019,7,Advanced,12
17,65,9,Artifactory,Artifact Repository,New York,1/17/2019,5,Intermediate,7
18,70,10,JIRA,Project Management,Chicago,1/18/2020,8,Expert,14
19,75,10,Confluence,Documentation,Los Angeles,1/19/2020,6,Intermediate,9
20,80,11,Git,Version Control,Houston,1/20/2021,9,Expert,18
21,85,1,Jenkins,CI/CD Tools,San Francisco,1/1/2021,7,Advanced,11
22,90,2,Docker,Containerization,New York,1/2/2021,8,Advanced,13
23,95,2,Kubernetes,Orchestration,Chicago,1/3/2021,6,Intermediate,10
24,100,3,Ansible,Configuration Management,Los Angeles,1/4/2021,5,Intermediate,9
25,105,3,Terraform,Infrastructure as Code,Houston,1/5/2021,4,Intermediate,7
26,110,4,Grafana,Monitoring and Observability,San Francisco,1/6/2021,6,Advanced,10
27,115,4,Prometheus,Monitoring and Observability,New York,1/7/2022,7,Advanced,12
28,120,5,GitLab CI,CI/CD Tools,Chicago,1/8/2022,8,Expert,15
29,125,5,ELK Stack,Log Management,Los Angeles,1/9/2022,6,Intermediate,10
30,130,6,Puppet,Configuration Management,Houston,1/10/2022,4,Intermediate,6
31,135,6,Chef,Configuration Management,San Francisco,1/11/2022,7,Advanced,11
32,140,7,Azure DevOps,CI/CD Tools,New York,1/12/2022,8,Expert,13
33,145,7,GitHub Actions,CI/CD Tools,Chicago,1/13/2022,7,Advanced,10
34,150,8,New Relic,Monitoring and Observability,Los Angeles,1/14/2022,5,Intermediate,8
35,155,8,Nagios,Monitoring and Observability,Houston,1/15/2023,6,Advanced,10
36,160,9,HashiCorp Vault,Secret Management,San Francisco,1/16/2023,8,Advanced,13
37,165,9,Artifactory,Artifact Repository,New York,1/17/2023,6,Intermediate,8
38,170,10,JIRA,Project Management,Chicago,1/18/2023,9,Expert,16
39,175,10,Confluence,Documentation,Los Angeles,1/19/2023,7,Intermediate,10
40,180,11,Git,Version Control,Houston,1/20/2024,10,Expert,20
41,185,1,Jenkins,CI/CD Tools,San Francisco,1/1/2024,8,Advanced,12
42,190,2,Docker,Containerization,New York,1/2/2024,9,Expert,15
43,195,2,Kubernetes,Orchestration,Chicago,1/3/2024,7,Intermediate,11
44,200,3,Ansible,Configuration Management,Los Angeles,1/4/2024,6,Advanced,10
45,205,3,Terraform,Infrastructure as Code,Houston,1/5/2024,5,Intermediate,8
46,210,4,Grafana,Monitoring and Observability,San Francisco,1/6/2024,7,Advanced,11
47,215,4,Prometheus,Monitoring and Observability,New York,1/7/2024,8,Advanced,13
48,220,5,GitLab CI,CI/CD Tools,Chicago,1/8/2024,9,Expert,17
49,225,5,ELK Stack,Log Management,Los Angeles,1/9/2024,7,Intermediate,11
50,230,6,Puppet,Configuration Management,Houston,1/10/2024,5,Intermediate,7
51,235,6,Chef,Configuration Management,San Francisco,1/11/2024,8,Advanced,12
52,240,7,Azure DevOps,CI/CD Tools,New York,1/12/2024,9,Expert,14
53,245,7,GitHub Actions,CI/CD Tools,Chicago,1/13/2024,8,Intermediate,9
54,250,8,New Relic,Monitoring and Observability,Los Angeles,1/14/2024,6,Intermediate,7
55,255,8,Nagios,Monitoring and Observability,Houston,1/15/2024,7,Advanced,11
56,260,9,HashiCorp Vault,Secret Management,San Francisco,1/16/2024,9,Advanced,14
57,265,9,Artifactory,Artifact Repository,New York,1/17/2024,7,Intermediate,9
58,270,10,JIRA,Project Management,Chicago,1/18/2024,10,Expert,18
59,275,10,Confluence,Documentation,Los Angeles,1/19/2024,8,Intermediate,12
60,280,11,Git,Version Control,Houston,1/20/2024,11,Expert,22
